,Date,Home Team,Away Team,Referee,AttackRateH,AttackRateA,DefenceRateH,DefenceRateA,DGH,DGA,Home Rank,Away Rank,Avg HST,Avg AST,Avg HF,Avg AF,Avg HC,Avg AC,Avg HR,Avg AR,Avg HY,Avg AY
3357,03-04-19,Man City,Cardiff,J Moss,0.731,0.269,0.364,0.636,0.792,0.317,1,0,0.022,0.003,0.004,0.032,0.013,0.008,0,0,0,0.015
3547,23-11-19,Man City,Chelsea,M Atkinson,0.5,0.5,0.667,0.333,0.438,0.842,1,0.9,0.011,0.008,0.01,0.023,0.02,0.005,0.017,0,0.006,0.007
3642,18-01-20,Man City,Crystal Palace,S Scott,0.667,0.333,0.588,0.412,0.802,0.792,1,0.45,0.014,0.01,0.015,0.015,0.029,0.004,0.01,0,0.005,0.011
3624,01-01-20,Man City,Everton,A Marriner,0.695,0.305,0.512,0.488,0.604,0.633,1,0.65,0.017,0.007,0.019,0.024,0.006,0.013,0.01,0,0,0.023
3083,15-09-18,Man City,Fulham,S Attwell,0.7,0.3,0.31,0.69,0.573,0.525,1,0,0.031,0.014,0.017,0.021,0.03,0.012,0.02,0.048,0,0
2584,08-04-17,Man City,Hull,J Moss,0.59,0.41,0.47,0.53,0.354,0.3,0.85,0,0.015,0.003,0.009,0.015,0.013,0.006,0.008,0,0,0.01
3596,21-12-19,Man City,Leicester,M Dean,0.598,0.402,0.769,0.231,0.604,0.95,1,0.6,0.032,0.007,0.026,0.021,0.014,0.002,0.011,0,0.011,0.012
3249,03-01-19,Man City,Liverpool,A Taylor,0.596,0.404,0.486,0.514,0.49,0.592,1,0.85,0.01,0.017,0.021,0.015,0.004,0.002,0.02,0,0.02,0.011
3574,07-12-19,Man City,Man United,A Taylor,0.566,0.434,0.643,0.357,0.406,0.858,1,0.75,0.014,0.027,0.019,0.024,0.038,0.007,0.016,0,0.016,0.013
3075,01-09-18,Man City,Newcastle,K Friend,0.6,0.4,0.45,0.55,0.438,0.425,1,0.55,0.029,0.01,0.013,0.041,0.013,0,0.021,0,0,0
2002,10/31/2015,Man City,Norwich,R Madley,0.63,0.37,0.34,0.66,0.635,0.533,0.95,0,0.015,0.013,0.008,0.034,0.031,0.01,0.006,0,0.012,0.014
3618,29-12-19,Man City,Sheffield United,C Kavanagh,0.611,0.389,0.791,0.209,0.583,0.792,1,0,0.01,0,0.009,0.013,0.018,0.011,0.026,0,0.005,0.006
3524,02-11-19,Man City,Southampton,L Mason,0.569,0.431,0.829,0.171,0.458,0.767,1,0.25,0.012,0.013,0.023,0.026,0.044,0,0.024,0,0.018,0.007
2733,14-10-17,Man City,Stoke,C Pawson,0.54,0.46,0.41,0.59,0.49,0.5,0.9,0.4,0.036,0.005,0.011,0.023,0.014,0,0.013,0.043,0,0.008
